Titel,Schauspieler,Produktionsfirma,Jahr,Länge,Kassette,DVD
“Scream 3”,"Neve Campbell, Courteney Cox, David Arquette, Lance Henriksen, Carrie Fisher, Wes Craven",Miramax Films/ Dimension Films,2000,111 min.,497,1717
"“Sechs Tage, sieben Nächte”","Harrison Ford, Anne Heche, Allison Janney, Cliff Curtis",Touchstone Pictures,1998,97 min.,231,
“Sein oder Nichtsein”,"Mel Brooks, Anne Bancroft, Christopher Lloyd, George Gaynes, Tim Matheson, Charles Durning, Earl Boen",20th Century Fox,1983,102 min.,327,420
“Seite an Seite”,"Susan Sarandon, Julia Roberts, Ed Harris",Columbia Pictures,1998,119 min.,3,
“Senseless”,"Marlon Wayans, Brad Dourif",Dimension Films,1998,89 min.,299,192
“Serial Killer”,Charlie Sheen,Filmwerks,1998,100 min.,243,Kauf
“Serial Mom – Warum lässt Mama das Morden nicht?”,"Kathleen Turner, Suzanne Somers",Savoy Pictures,1994,90 min.,255,Kauf (BD)
“Serving Sara”,"Matthew Perry, Elizabeth Hurley, Jerry Stiller, Marshall Bell, Joe Viterelli",Paramount Pictures,2002,95 min.,,152
"“Sex, Lies and Videotape”","James Spader, Andie MacDowell, Peter Gallagher",Miramax Films,1989,96 min.,122,851
“Sex oder stirb”,"Brittany Murphy, Michael Biehn, Jay Mohr",USA Films/October Films,2000,88 min.,402,
“Shaft – Noch Fragen?”,"Samuel L. Jackson, Vanessa L. Williams, Richard Roundtree, Busta Rhymes, Pat Hingle",Paramount Pictures,2000,95 min.,376,1780
“Shanghai Noon”,"Jackie Chan, Owen Wilson, Lucy Liu, Xander Berkeley, Walt Goggins",Touchstone Pictures,2000,106 min.,395,794
“She’s Having a Baby”,"Kevin Bacon, Elizabeth McGovern, Alec Baldwin, Paul Gleason, John Ashton, Edie McClurg, Larry Hankin, Bill Erwin, Kirstie Alley, Dan Aykroyd, Matthew Broderick, John Candy, Ted Danson, Woody Harrelson, Robert Hays, Magic Johnson, Michael Keaton, Elias Koteas, Bill Murray, Olivia Newton-John, Roy Orbison, Wil Wheaton",Paramount Pictures,1988,101 min.,,222
“Sherlock Holmes”,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong",Warner Bros.,2009,129 min.,,Kauf (BD)
“Shining”,"Jack Nicholson, Scatman Crothers",Warner Bros.,1980,113 min.,400,Kauf
“Shoot ‘em up”,"Clive Owen, Paul Giamatti, Monica Bellucci",New Line Cinema,2007,83 min.,,1021
“Shopaholic – Die Schnäppchenjägerin”,"Isla Fisher, Joan Cusack, John Goodman, John Lithgow, Kristin Scott Thomas, Robert Stanton, Julie Hagerty, Wendie Malick, Christine Ebersole",Touchstone Pictures,2009,100 min.,,1368
“Showgirls”,"Elizabeth Berkley, Kyle MacLachlan, Gina Gershon, Glenn Plummer, Robert Davi",Metro Goldwyn Mayer,1995,125 min.,499,674
“Showtime”,"Robert De Niro, Eddie Murphy, Rene Russo, Frankie Faison, William Shatner",Warner Bros.,2002,91 min.,467,
“Shrek – Der tollkühne Held”,,DreamWorks Pictures,2001,87 min.,513,
“Shrek 2 – Der tollkühne Held kehrt zurück”,,DreamWorks Pictures,2004,89 min.,,338
“Shrek der Dritte”,,DreamWorks Pictures,2007,89 min.,,1106
“Shutter Island”,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow, Patricia Clarkson, Ted Levine, Elias Koteas, Robin Bartlett",Paramount Pictures,2010,138 min.,,Kauf (BD)
“Sie nannten ihn Mücke”,"Bud Spencer, Raimund Harmstorf, Joe Bugner, Riccardo Pizzuti, Claudio Ruffini",Tobis,1978,96 min.,,867
“Sie nannten ihn Plattfuß”,Bud Spencer,S.J. International Pictures,1974,99 min.,488,
“Sieben”,"Brad Pitt, Morgan Freeman, Gwyneth Paltrow, Kevin Spacey",New Line Cinema,1995,121 min.,300,108
“Signs – Zeichen”,"Mel Gibson, Joaquin Phoenix, Rory Culkin, Abigail Breslin, M. Night Shyamalan",Touchstone Pictures,2002,102 min.,,52
“Simon Sez”,Dennis Rodman,Columbia TriStar,1999,82 min.,379,
“Sister Act II – In göttlicher Mission”,"Whoopi Goldberg, Lauryn Hill, James Coburn, Thomas Gottschalk (I), Jennifer Love Hewitt",Touchstone Pictures,1993,97 min.,378,1286
“Sky High – Diese High-School hebt ab!”,"Kurt Russell, Kelly Preston, Mary Elizabeth Winstead, Bruce Campbell",Walt Disney Pictures,2005,95 min.,,578
“Sleepy Hollow – Köpfe werden rollen”,"Johnny Depp, Christina Ricci, Miranda Richardson, Casper Van Dien, Jeffrey Jones, Michael Gough, Christopher Lee, Christopher Walken, Martin Landau",Paramount Pictures/ Mandalay Pictures,1999,100 min.,476,1272
“Sliver”,"Sharon Stone, William Baldwin, Tom Berenger",Paramount Pictures,1993,103 min.,340,41
“Small Soldiers”,"Kirsten Dunst, Denis Leary, Robert Picardo, Jay Mohr, Kevin Dunn (I)",Universal Pictures,1998,105 min.,244,Kauf
“Snatch – Schweine und Diamanten”,"Brad Pitt, Benicio Del Toro, Dennis Farina, Sol Campbell, Guy Ritchie",Columbia Pictures,2000,99 min.,426,Kauf
“Sneakers – Die Lautlosen”,"Robert Redford, Sidney Poitier, Dan Aykroyd, River Phoenix, Ben Kingsley, Stephen Tobolowsky, James Earl Jones, Bodhi Elfman, David Strathairn",Universal Pictures,1992,120 min.,356,281
"""Snow Dogs – 8 Helden auf 4 Pfoten""","Cuba Gooding Jr., James Coburn, Nichelle Nichols, M. Emmet Walsh, Graham Greene, Brian Doyle-Murray, Michael Bolton, Christopher Judge",Walt Disney Pictures,2002,95 min.,,819
“Solange du da bist”,"Reese Witherspoon, Mark Ruffalo, Donal Logue, Jon Heder, Rosalind Chao",DreamWorks Pictures,2005,91 min.,,543
“Solaris”,"George Clooney, Natascha McElhone, Ulrich Tukur, Michael Ensign",20th Century Fox,2002,94 min.,,1
“Something Wild”,"Jeff Daniels, Melanie Griffith, Ray Liotta, Tracey Walter, Robert Ridgely, Charles Napier, Margaret Colin",Orion Pictures,1986,109 min.,,428
“Source Code”,"Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga, Jeffrey Wright",Summit Entertainment,2011,93 min.,,Kauf (BD)
“South Park – Der Film”,,Warner Bros.,1999,77 min.,355,
“Space Jam”,"Michael Jordan, Bill Murray, Charles Barkley, Larry Johnson, Patrick Ewing, Larry Bird",Warner Bros.,,79 min.,,Kauf
“Species II”,"Michael Madsen, George Dzundza, James Cromwell",Metro Goldwyn Mayer,1998,89 min.,265,
“Speed”,"Keanu Reeves, Dennis Hopper, Sandra Bullock, Jeff Daniels",20th Century Fox,1994,111 min.,293,292
“Sphere”,"Dustin Hoffman, Sharon Stone, Samuel L. Jackson, Peter Coyote, Bernard Hocke",Warner Bros.,1998,129 min.,233,
“Spider-Man”,"Tobey Maguire, Willem Dafoe, Kirsten Dunst, Ted Raimi, Lucy Lawless",Columbia Pictures,2002,117 min.,463,Kauf
“Spider-Man 2”,"Tobey Maguire, Kirsten Dunst, Alfred Molina, Bill Nunn, Willem Dafoe, Ted Raimi, Elya Baskin, John Landis",Columbia Pictures,2004,122 min.,,293/ Kauf
“Spiel auf Zeit”,"Nicolas Cage, Gary Sinise, Kevin Dunn (I), Luis Guzman",Touchstone Pictures/ Paramount Pictures,1998,94 min.,243,
“Spione wie wir”,"Chevy Chase, Dan Aykroyd, Frank Oz, Terry Gilliam, Matt Frewer, Bob Hope",Warner Bros.,1985,97 min.,368,
“Spurwechsel”,"Ben Affleck, Samuel L. Jackson, Sydney Pollack, Richard Jenkins, Amanda Peet, Joe Grifasi, William Hurt",Paramount Pictures,2002,95 min.,495,24/ Kauf
“Spy Game – Der finale Countdown”,"Robert Redford, Brad Pitt, Charlotte Rampling, Larry Bryggman",Universal Pictures,2001,121 min.,182,Kauf
“Spy Kids”,"Antonio Banderas, Carla Gugino, Tony Shalhoub, Teri Hatcher, Cheech Marin, Robert Patrick, Danny Trejo, George Clooney",Miramax Films/ Dimension Films,2001,84 min.,,166
“Spy Kids 2”,"Antonio Banderas, Carla Gugino, Steve Buscemi, Danny Trejo, Cheech Marin, Ricardo Montalban, Christopher McDonald, Bill Paxton, Tony Shalhoub",Miramax Films/ Dimension Films,2002,96 min.,,22
“Spy Kids – Mission 3-D”,"Antonio Banderas, Carla Gugino, Ricardo Montalban, Sylvester Stallone, Salma Hayek, Cheech Marin, Danny Trejo, Tony Shalhoub, Steve Buscemi, Bill Paxton, George Clooney, Elijah Wood",Miramax Films/ Dimension Films,2003,79 min.,,172
“Stadt der Engel”,"Nicolas Cage, Meg Ryan",Warner Bros.,1998,108 min.,3,Kauf
“Star Trek – Der Film”,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan, Walter Koenig, George Takei, Nichelle Nichols, Majel Barrett, Grace Lee Whitney, Mark Lenard",Paramount Pictures,1979,124 min.,403,721
“Star Trek II – Der Zorn des Khan”,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan, Walter Koenig, George Takei, Nichelle Nichols, Kirstie Alley, Bibi Besch, Merritt Butrick, Ricardo Montalban, Paul Winfield, Judson Earney Scott, James Horner",Paramount Pictures,1982,107 min.,403,413
“Star Trek III – Auf der Suche nach Mr. Spock”,"William Shatner, DeForest Kelley, James Doohan, George Takei, Walter Koenig, Nichelle Nichols, Mark Lenard, Merritt Butrick, Robin Curtis (I), Christopher Lloyd, Leonard Nimoy, John Larroquette, Grace Lee Whitney",Paramount Pictures,1984,100 min.,319,723
“Star Trek IV – Zurück in die Gegenwart”,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan, George Takei, Walter Koenig, Nichelle Nichols, Mark Lenard, Majel Barrett, Brock Peters, Robin Curtis (I), Grace Lee Whitney",Paramount Pictures,1986,116 min.,319,724
“Star Trek – Nemesis”,"Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton, Michael Dorn, Marina Sirtis, Gates McFadden, Ron Perlman, Kate Mulgrew, Wil Wheaton, Whoopi Goldberg",Paramount Pictures,2002,112 min.,,Kauf
"""Star Trek""","Chris Pine, Zachary Quinto, Leonard Nimoy, Eric Bana, Bruce Greenwood, Karl Urban, Zoe Saldana, Simon Pegg, John Cho, Anton Yelchin, Ben Cross, Winona Ryder, Chris Hemsworth",Paramount Pictures,2009,126 min.,,Kauf (BD)
“Star Wars: Episode I – Die dunkle Bedrohung”,"Liam Neeson, Ewan McGregor, Natalie Portman, Samuel L. Jackson",20th Century Fox,1999,127 min.,311,Kauf (BD)
“Star Wars: Episode II – Angriff der Klonkrieger”,"Ewan McGregor, Natalie Portman, Hayden Christenen, Samuel L. Jackson, Christopher Lee, Jimmy Smits",20th Century Fox,2002,137 min.,463,Kauf (BD)
“Star Wars: Episode IV – Neue Hoffnung”,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guiness",20th Century Fox,1977,120 min.,10,Kauf (BD)
“Star Wars: Episode IV – Neue Hoffnung”,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guiness",20th Century Fox,1997,120 min.,310,485 / Kauf (BD)
“Star Wars: Episode V – Das Imperium schlägt zurück” (1997),"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guiness, Treat Williams",20th Century Fox,1980,122 min.,310,486 / Kauf (BD)
“Star Wars: Episode VI – Die Rückkehr der Jedi-Ritter”,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Alec Guiness",20th Century Fox,1983,124 min.,58,Kauf (BD)
“Star Wars: Episode VI – Die Rückkehr der Jedi-Ritter”,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Alec Guiness",20th Century Fox,1997,129 min.,311,487 / Kauf (BD)
“Stargate”,"Kurt Russell, James Spader, Leon Rippy",Metro Goldwyn Mayer,1994,116 min.,239,336
“Starsky & Hutch”,"Ben Stiller, Owen Wilson, Vince Vaughn, Juliette Lewis, Snoop Dogg, Will Ferrell, Fred Williamson, Amy Smart, Carmen Electra, Patton Oswalt",Warner Bros./ Dimension Films,2004,96 min.,,260
“Startup”,"Ryan Phillippe, Tim Robbins, Rachel Leigh Cook, Claire Forlani, Richard Roundtree",Metro Goldwyn Mayer,2001,105 min.,445,
“State and Main”,"William H. Macy, Philip Seymour Hoffman, Alec Baldwin, Sarah Jessica Parker, David Paymer, Charles Durning, Ricky Jay, Julia Stiles",New Line Cinema,2000,101 min.,,1705
"""Stealing Harvard""","Jason Lee, Tom Green, Leslie Mann, Dennis Farina, John C. McGinley, Richard Jenkins, Seymour Cassel",Columbia Pictures,2002,82 min.,,132
“Steinzeit Junior”,"Brendan Fraser, Richard Masur, Rick Ducommun",Hollywood Pictures,1992,84 min.,242,1574
"“Stephen King’s Es, Teil 1”","Seth Green, John Ritter, Annette O’Toole, Tim Curry, Richard Masur",Warner Bros./ Konigsberg/Sanitzky Company,1990,90 min.,374,
"“Stephen King’s Es, Teil 2”","John Ritter, Annette O’Toole, Tim Curry, Richard Masur, Seth Green",Warner Bros./ Konigsberg/Sanitzky Company,1990,94 min.,374,
"“Stephen King – The Tommyknockers, Teil 1”","Jimmy Smits, Marg Helgenberger, John Ashton (I)",Konigsberg/Sanitzky Company,1993,86 min.,317,
"“Stephen King – The Tommyknockers, Teil 2”","Jimmy Smits, Marg Helgenberger, John Ashton (I)",Konigsberg/Sanitsky Company,1993,87 min.,317,
"""Stichtag""","Robert Downey Jr., Zach Galifianakis, Michelle Monaghan, Jamie Foxx, Juliette Lewis, Jon Cryer, Charlie Sheen",Warner Bros.,2010,91 min.,,Kauf
“Stigmata”,"Patricia Arquette, Gabriel Byrne",Metro Goldwyn Mayer,1999,96 min.,337,658
“Stirb langsam”,"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson, Alexander Godunov, Paul Gleason, William Atherton, Hart Bochner, Robert Davi, Wilhelm von Homburg, Rick Ducommun, Mary Ellen Trainor",20th Century Fox,1988,126 min.,73,239/ Kauf
“Stirb langsam 2 – Die Harder”,"Bruce Willis, Bonnie Bedelia, William Atherton, William Sadler, Reginald VelJohnson, Franco Nero, John Amos, Dennis Franz, Fred Dalton Thompson, Robert Patrick, John Leguizamo, Colm Meaney",20th Century Fox,1990,118 min.,484,240/ Kauf
“Stop! Oder meine Mami schießt”,"Sylvester Stallone, Estelle Getty, JoBeth Williams, Ving Rhames, Richard Schiff",Universal Pictures,1992,83 min.,451,910
“Straße der Rache”,"John Travolta, Harry Belafonte",Unbekannt,1995,81 min.,26,
“Stromberg: Der Film – Lass das mal den Papa machen”,"Christoph Maria Herbst, Milena Dreißig, Bjarne Mädel, Diana Staehly, Oliver Wnuk, Sinan Akkus, Tatjana Alexander, Maja Beckmann, Max Mauff, Laurens Walter, Frank-Walter Steinmeier, Joe Henselewski, Andreas Hermann, Prashant Prabhakar, Stefan Lampadius, Frank Montenbruck, Lars Gärtner",NFP Marketing & Distribution,2014,118 min.,,Digital Copy
“Studio 54”,"Ryan Phillippe, Mike Myers, Salma Hayek, Neve Campbell, Michael York, Cindy Crawford, Sheryl Crow, Donald Trump, Heidi Klum",Miramax Films,1998,89 min.,321,429
“Suicide Kings”,"Christopher Walken, Denis Leary, Jay Mohr",Live Entertainment,1997,102 min.,237,169
“Super süß und super sexy – The Sweetest Thing”,"Cameron Diaz, Christina Applegate, Selma Blair, Thomas Jane, Jason Bateman",Columbia Pictures,2002,81 min.,,13
“Supergirl”,"Helen Slater, Faye Dunaway, Peter O’Toole, Marc McClure, Matt Frewer",Warner Bros.,1984,87 min.,,
“Superman”,"Christopher Reeve, Gene Hackman, Marlon Brando, Ned Beatty",Warner Bros.,1978,136 min.,246,Kauf (BD)
“Superman II – Allein gegen alle”,"Christopher Reeve, Gene Hackman, Margot Kidder, Terence Stamp, Ned Beatty, Jackie Cooper, E.G. Marshall, Marc McClure, Richard Donner",Warner Bros.,1980,122 min.,448,Kauf (BD)
“Superman III – Der stählerne Blitz”,"Christopher Reeve, Richard Pryor",Warner Bros.,1983,118 min.,260,Kauf (BD)
“Supernova”,"James Spader, Angela Bassett, Robin Tunney",Metro Goldwyn Mayer,2000,86 min.,359,1054
“Surviving the Game - …tötet ihn!”,"Ice-T, Rutger Hauer, F. Murray Abraham",New Line Cinema,1993,91 min.,280,982
“Suspect”,"Cher, Dennis Quaid, Liam Neeson",TriStar,,116 min.,221,670
“S.W.A.T. – Die Spezialeinheit”,"Samuel L. Jackson, Colin Farrell, Michelle Rodriguez, LL Cool J, Josh Charles, Olivier Martinez, Larry Poindexter",Columbia Pictures,2003,113 min.,,195
“Sweet Home Alabama – Liebe auf Umwegen”,"Reese Witherspoon, Josh Lucas, Candice Bergen, Mary Kay Place, Fred Ward, Ethan Embry, Rhona Mitra, Dakota Fanning",Touchstone Pictures,2002,104 min.,,23
“Switchback”,"Dennis Quaid, Danny Glover, R. Lee Ermey, Jared Leto, Ted Levine, William Fichtner, Walt Goggins",Paramount Pictures,1997,113 min.,498,1261
“Syriana”,"George Clooney, Matt Damon, Jeffrey Wright, Christopher Plummer, Chris Cooper, Amanda Peet, Alexander Siddig, William Hurt",Warner Bros.,2005,123 min.,,540
“Tage des Donners – Days of Thunder”,"Tom Cruise, Robert Duvall, Randy Quaid, Nicole Kidman, Cary Elwes, Michael Rooker",Paramount Pictures,1990,103 min.,313,59
“Tanguy”,"Sabine Azéma, André Dussollier, Éric Berger",TF1 Films Production,2001,105 min.,,586
“Taschengeld”,"Ed Harris, Melanie Griffith, Malcolm McDowell, Anne Heche",Paramount Pictures,1994,104 min.,276,272
“Tattoo”,August Diehl,Tobis Studio Canal,2002,104 min.,461,
“Taxi”,"Samy Naceri, Frédéric Diefenthal, Emma Sjöberg",Tobis,1998,86 min.,395,6
“Taxi 3”,"Samy Naceri, Frédéric Diefenthal, Emma Sjöberg, Sylvester Stallone",Tobis,2003,84 min.,,16
“Taxi Driver”,"Robert De Niro, Cybill Shepherd, Jodie Foster, Harvey Keitel",Columbia Pictures,1976,109 min.,286,635
“Taxi Taxi”,"Samy Naceri, Frédéric Diefenthal, Emma Sjöberg",Tobis,2000,85 min.,410,
“Ted”,"Mark Wahlberg, Mila Kunis, Giovanni Ribisi, Patrick Warburton, Matt Walsh, Norah Jones, Tom Skerritt, Ray Romano, Ted Danson, Ryan Reynolds",Universal Pictures,2012,106 min.,,Kauf (BD)
“Ted 2”,"Mark Wahlberg, Amanda Seyfried, Jessica Barth, Giovanni Ribisi, Morgan Freeman, Sam J. Jones, Patrick Warburton, Michael Dorn, Bill Smitrovich, John Carroll Lynch, Ron Canada, Liam Neeson, Dennis Haysbert, Tom Brady, Jay Leno, Jimmy Kimmel, Nana Visitor",Universal Pictures,2015,115 min.,,Kauf (BD)
“Tequila Sunrise”,"Mel Gibson, Kurt Russell, Michelle Pfeiffer, Raul Julia",Warner Bros.,1988,109 min.,290,
“Terminator 2 – Judgment Day”,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick, Joe Morton, Earl Boen, Xander Berkeley",TriStar,1991,131 min.,462,1068
“Terminator 3 – Rebellion der Maschinen”,"Arnold Schwarzenegger, Nick Stahl, Claire Danes, Kristanna Loken, Earl Boen, William O’Leary",Warner Bros.,2003,105 min.,,96/ Kauf
“Terminator Salvation”,"Christian Bale, Sam Worthington, Helena Bonham Carter, Anton Yelchin, Bryce Dallas Howard, Jane Alexander, Michael Ironside, Terry Crews",Columbia Pictures,2009,118 min.,,Kauf (BD)
“Teuflisch”,"Brendan Fraser, Elizabeth Hurley, Frances O’Connor (II), Orlando Jones, Brian Doyle-Murray",20th Century Fox,2000,89 min.,410,774
“The 13th Floor”,"Craig Bierko, Armin Mueller-Stahl, Gretchen Mol, Vincent D’Onofrio, Dennis Haysbert, Leon Rippy",Columbia Pictures,1999,97 min.,,1199
“The 6th Day”,"Arnold Scharzenegger, Tony Goldwyn, Robert Duvall, Michael Rooker, Don S. Davis",Columbia Pictures,2000,118 min.,399,346
“The Abyss”,"Ed Harris, Mary Elizabeth Mastrantonio, Michael Biehn, Chris Elliott",20th Century Fox,1989,164 min.,470,Kauf
“The Addams Family”,"Anjelica Huston, Raul Julia, Christopher Lloyd, Christina Ricci, Carel Struycken, Paul Benedict, Dana Ivey, Barry Sonnenfeld",Orion Pictures/ Paramount Pictures,1991,95 min.,516,320
“The Adventures of Rocky & Bullwinkle”,"Robert De Niro, Rene Russo, Jason Alexander, Piper Perabo, Randy Quaid, Janeane Garofalo, Carl Reiner, John Goodman, James Rebhorn, David Alan Grier, Jon Polito, Wesley Mann, Max Grodénchik, Billy Crystal, Whoopi Goldberg",Universal Pictures,2000,88 min.,513,Kauf
“The Amazing Spider-Man”,"Andrew Garfield, Emma Stone, Rhys Ifans, Denis Leary, Martin Sheen, Sally Field, Embeth Davidtz, Stan Lee",Columbia Pictures,2012,136 min.,,Kauf (BD)
“The Arrival – Die Ankunft”,"Charlie Sheen, Richard Schiff, Ron Silver, Teri Polo, Leon Rippy",Orion Pictures,1996,115 min.,,185
“The Art of War”,"Wesley Snipes, Anne Archer, Donald Sutherland, Michael Biehn, James Hong",Warner Bros.,2000,112 min.,499,350
“The Astronaut’s Wife”,"Johnny Depp, Charlize Theron, Joe Morton, Clea DuVall, Donna Murphy, Nick Cassavetes, Tom Noonan, Cole Sprouse, Dylan Sprouse",New Line Cinema,1999,104 min.,,490
“The Beach”,Leonardo DiCaprio,20th Century Fox,2000,114 min.,352,1238
“The Big Lebowski”,"Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi, David Huddleston, Philip Seymour Hoffman, Tara Reid, Peter Stormare, Flea, Jack Kehler, John Turturro, Sam Elliott, Jon Polito, Asia Carrera",Polygram Films,1998,112 min.,,965
“The Body”,"Antonio Banderas, Ian McNeice",TriStar,2000,104 min.,,388
“The Breakfast Club”,"Emilio Estevez, Paul Gleason, Anthomy Michael Hall, Judd Nelson, Molly Ringwald, Ally Sheedy, Ron Dean, John Hughes",Universal Pictures,1985,96 min.,,Kauf (BD)
“The Butterfly Effect”,"Ashton Kutcher, Amy Smart, Eric Stoltz",New Line Cinema,2004,109 min.,,328
“The Chase – Die Wahnsinnsjagd”,"Charlie Sheen, Kristy Swanson, Henry Rollins, Ray Wise, Cary Elwes",20th Century Fox,1994,85 min.,437,
“The Company You Keep – Die Akte Grant”,"Robert Redford, Shia LaBeouf, Julie Christie, Susan Sarandon, Nick Nolte, Chris Cooper, Terrence Howard, Stanley Tucci, Richard Jenkins, Anna Kendrick, Brendan Gleeson, Sam Elliott",Sony Pictures Classics / Voltage Pictures,2012,121 min.,,Digital Copy
“The Core”,"Aaron Eckhart, Hilary Swank, Delroy Lindo, Stanley Tucci, DJ Qualls, Richard Jenkins, Glenn Morshower, Bruce Greenwood, Tchéky Karyo, Alfre Woodard",Paramount Pictures,2003,129 min.,,64
“The Crow”,"Brandon Lee, Ernie Hudson, Michael Wincott, Tony Todd, Jon Polito",Miramax Films,1994,96 min.,485,
“The Crow III – Tödliche Erlösung”,"Eric Mabius, Kirsten Dunst, William Atherton, Fred Ward",Dimension Films,2000,89 min.,485,
“The Darjeeling Limited”,"Owen Wilson, Adrien Brody, Jason Schwartzman, Bill Murray, Anjelica Huston, Natalie Portman",Fox Searchlight Pictures,2007,88 min.,,1260
“The Day After Tomorrow”,"Dennis Quaid, Jake Gyllenhaal, Ian Holm, Glenn Plummer",20th Century Fox,2004,119 min.,,295/ Kauf (BD + DVD)
“The Faculty”,"Elijah Wood, Robert Patrick, Famke Janssen, Salma Hayek",Dimension Films/ Miramax Films,1998,100 min.,349,259
“The Family Man”,"Nicolas Cage, Téa Leoni, Don Cheadle, Saul Rubinek",Universal Pictures,2000,121 min.,,
“The Fan”,"Robert De Niro, Wesley Snipes",TriStar/Mandalay Entertainment/ Constantin Film,1996,111 min.,286,387
“The Fast and the Furious”,"Paul Walker, Vin Diesel, Michelle Rodriguez, Ted Levine, Ja Rule, Rob Cohen",Universal Pictures,2001,102 min.,449,Kauf
“The Fast and the Furious – Tokyo Drift”,"Lucas Black, Nathalie Kelley, Bow Wow, Sung Kang, Vin Diesel",Universal Pictures,2006,100 min.,,664
“The Flintstones in Viva Rock Vegas”,"Stephen Baldwin, Kristen Johnston (I), Joan Collins, Thomas Gibson (I), William Hanna, Joseph Barbera",Universal Pictures,2000,87 min.,415,
“The Good Son” (“Das zweite Gesicht”),"Macaulay Culkin, Elijah Wood, David Morse",20th Century Fox,1993,83 min.,,458
“The Goonies”,"Sean Astin, Josh Brolin, Corey Feldman, Robert Davi, Joe Pantoliano, Anne Ramsey, Mary Ellen Trainor, Richard Donner",Warner Bros.,1985,109 min.,64,Kauf
"""The Green Hornet""","Seth Rogen, Jay Chou, Cameron Diaz, Tom Wilkinson, Christoph Waltz, Edward James Olmos, Edward Furlong, James Franco",Columbia Pictures,2011,114 min.,,1503
“The Green Mile”,"Tom Hanks, David Morse, Michael Clarke Duncan, James Cromwell, Gary Sinise",Universal Pictures/ Castle Rock Entertainment,1999,178 min.,351,Kauf
“The Grinch”,"Jim Carrey, Jeffrey Tambor, Christine Baranski, Clint Howard, Mindy Sterling",Universal Pictures,2000,101 min.,79,
“The Hole”,Thora Birch,Le StudioCanal+/ Dimension Films,2001,98 min.,517,1459
“The Homesman”,"Tommy Lee Jones, Hilary Swank, Miranda Otto, Barry Corbin, William Fichtner, John Lithgow, James Spader, Meryl Streep",EuropaCorp / Saban Films,2014,117 min.,,Digital Copy
“The Hot Spot – Spiel mit dem Feuer”,"Don Johnson, Virginia Madsen, Jennifer Connelly, William Sadler, Jerry Hardin, Barry Corbin, Leon Rippy",Orion Pictures/Metro Goldwyn Mayer,1990,124 min.,472,720
“The Karate Kid”,"Ralph Macchio, Pat Morita, Elisabeth Shue, Martin Kove",Columbia Pictures,1984,121 min.,,404/ Kauf
“The Kid – Image ist alles”,"Bruce Willis, Lily Tomlin, Dana Ivey, Jeri Ryan, Matthew Perry",Walt Disney Pictures,2000,99 min.,398,1421
“The Last Samurai”,"Tom Cruise, Tony Goldwyn, William Atherton, Billy Connolly",Warner Bros.,2003,148 min.,,145
“The Lost Boys”,"Jason Patric, Kiefer Sutherland, Edward Herrmann, Jami Gertz, Corey Feldman",Warner Bros.,1987,93 min.,505,
“The Majestic”,"Jim Carrey, Bob Balaban, Hal Holbrook, Laurie Holden, Martin Landau, Brent Briscoe, David Ogden Stiers, Brian Howe, Chelcie Ross, Daniel von Bargen, Bruce Campbell, Cliff Curtis",Warner Bros. / Castle Rock Entertainment,2001,146 min.,,Kauf
"""The Matrix Reloaded""","Keanu Reeves, Carrie-Anne Moss, Laurence Fishburne, Hugo Weaving, Lambert Wilson, Monica Bellucci, Harold Perrineau, Jada Pinkett Smith, Harry Lennix, Anthony Zerbe",Warner Bros.,2003,138 min.,,94 / Kauf (BD)
"""The Matrix Revolutions""","Keanu Reeves, Carrie-Anne Moss, Laurence Fishburne, Hugo Weaving, Lambert Wilson, Monica Bellucci, Harold Perrineau, Jada Pinkett Smith, Harry Lennix, Anthony Zerbe, Bruce Spence",Warner Bros.,2003,129 min.,,105 / Kauf (BD)
“The Million Dollar Hotel”,"Milla Jovovich, Mel Gibson, Jimmy Smits, Peter Stormare, Harris Yulin, Wim Wenders",Icon Entertainment,2000,116 min.,413,
“The Next Karate Kid”,"Pat Morita, Hilary Swank, Michael Ironside, Walt Goggins",Columbia Pictures,1994,103 min.,,Kauf
“The Object of Beauty”,"John Malkovich, Andie MacDowell, Lolita Davidovich, Joss Ackland",Tobis/BBC,1991,98 min.,357,611
“The Others”,"Nicole Kidman, Fionnula Flanagan",Miramax Films/ Dimension Films,2001,100 min.,442,Kauf (BD)
“The Patriot”,Steven Seagal,Interlight Pictures,1998,86 min.,271,1382
“The Philadelphia Experiment”,Nancy Allen,New World Pictures,1984,95 min.,288,554
