Titel,Schauspieler,Produktionsfirma,Jahr,Länge,Kassette,DVD
“Begegnung des Schicksals”,"Harrison Ford, Kristin Scott Thomas, Charles Dutton, Dennis Haysbert, Sydney Pollack, Richard Jenkins, Paul Guilfoyle, Peter Coyote, Bill Cobbs, Robert Zajonc, M. Emmet Walsh",Columbia Pictures,1999,125 min.,493,
"""Behind Enemy Lines: Colombia""","Keith David, Tim Matheson",20th Century Fox,2009,90 min.,,1380
“Beinahe ein Engel”,"Paul Hogan, Linda Kozlowski, Charlton Heston",Paramount Pictures,1990,92 min.,436,
“Being John Malkovich”,"John Cusack, Cameron Diaz, Catherine Keener, John Malkovich, Charlie Sheen, Sean Penn, Brad Pitt",USA Films,1999,107 min.,,Kauf
“Belphégor – Das Phantom des Louvre”,"Sophie Marceau, Frédéric Diefenthal",Le Studio Canal+,2001,92 min.,,425
“Beverly Hills Cop”,"Eddie Murphy, Judge Reinhold, Ronny Cox",Paramount Pictures,1984,100 min.,256,156
“Beverly Hills Cop II”,"Eddie Murphy, Judge Reinhold, Ronny Cox, Jürgen Prochnow, Brigitte Nielsen",Paramount Pictures,1987,99 min.,258,307
“Beverly Hills Cop III”,"Eddie Murphy, Judge Reinhold, George Lucas",Paramount Pictures,1994,100 min.,436,308
“Big”,"Tom Hanks, Elizabeth Perkins, Robert Loggia, John Heard, John Lovitz, Jared Rushton, Mercedes Ruehl, Josh Clark",20th Century Fox,1988,100 min.,,401
“Big Daddy”,"Adam Sandler, Steve Buscemi",Columbia Pictures,1999,90 min.,382,
“Big Mama’s Haus”,"Martin Lawrence, Nia Long, Paul Giamatti",20th Century Fox,2000,94 min.,391,1255
“Big Trouble in Little China”,"Kurt Russell, Kim Cattrall, James Hong, Victor Wong, Chao Li Chi, Al Leong, John Carpenter",20th Century Fox,1986,99 min.,,274
“Billy Bathgate”,"Dustin Hoffman, Nicole Kidman, Bruce Willis, Steve Buscemi, Stanley Tucci, Mike Starr (I), Xander Berkeley",Touchstone Pictures,1991,102 min.,434,746
“Bitter Moon”,"Peter Coyote, Emmanuelle Seigner, Hugh Grant, Kristin Scott Thomas",Columbia Pictures,1992,133 min.,414,1285
“Black Hawk Down”,"Josh Hartnett, Ewan McGregor, Tom Sizemore, Eric Bana, William Fichtner, Sam Shepard, Kim Coates, Ron Eldard, Ioan Gruffudd, Glenn Morshower, Jeremy Piven, Richard Tyson, Orlando Bloom",Columbia Pictures,2001,138 min.,,38
“Black Rain”,"Michael Douglas, Andy Garcia, Kate Capshaw, Luis Guzman, Richard Riehle",Paramount Pictures,1989,120 min.,437,692
“Black River”,"Jay Mohr, Ron Canada, Stephen Tobolowsky",Fox Television Studios,2001,83 min.,,
“Blade”,"Wesley Snipes, Stephen Dorff, Kris Kristofferson, Udo Kier, Traci Lords",New Line Cinema,1998,108 min.,349,758
“Blade Runner – The Director’s Cut”,"Harrison Ford, Rutger Hauer, Daryl Hannah",Warner Bros.,1982,109 min.,312,Kauf
“Blair Witch Project”,,Artisan Entertainment,1999,76 min.,332,1304
“Blair Witch 2”,Jay Leno,Artisan Entertainment,2000,87 min.,402,
“Blendende Weihnachten”,"Danny DeVito, Matthew Broderick, Kristin Davis, Kristin Chenoweth",20th Century Fox,2006,89 min.,,1037
“Blind Date – Verabredung mit einer Unbekannten”,"Bruce Willis, Kim Basinger, John Larroquette, George Coe, Mark Blum, Armin Shimerman, Brian George (I)",TriStar,1987,91 min.,75,46
“Blues Brothers”,"Dan Aykroyd, John Belushi, Carrie Fisher, John Candy, James Brown (I), Ray Charles (I), Aretha Franklin",Universal Pictures,1979,127 min.,267,Kauf
